id,ts,principal_id,client_id,query_id,sql_hash,table_name,bytes_scanned,row_count,duration_ms,status
8779e456-b50c-5888-95a8-152b92d1a3e0,2026-05-24T00:00:39+00:00,analyst-007,governed-mcp,pipeline_summary,d3e0efd79b8ca5472b702533eaabaaee,pipeline,1941973,7,312,success
f0866f29-e018-5e59-bbac-6fc0636c2ac7,2026-05-24T00:05:45+00:00,analyst-007,governed-mcp,account_health,54d9eb64a837b74643b84fe8856d15d1,opportunities,1262013,295,374,success
cde7fb3d-fbdb-5ec2-a808-ba7736088522,2026-05-24T01:06:00+00:00,analyst-004,governed-mcp,account_health,17266f2e41e043ac51530d020d0c16a1,regions,833003,25,602,success
e22531b3-175b-5fbe-a34e-7d9262b1bde0,2026-05-24T01:08:45+00:00,analyst-004,governed-mcp,renewals_by_region,6befc7729b3c44f23fd243d38e57c89b,regions,898123,369,219,success
943e7108-5aca-576b-b607-306ef9269619,2026-05-24T01:12:30+00:00,analyst-004,governed-mcp,pipeline_summary,682588c047b4946a32471d6734f3a4b9,accounts,685877,82,307,success
405e8e90-965c-58bd-aa1d-9943748f5ba3,2026-05-24T01:13:14+00:00,analyst-004,governed-mcp,pipeline_summary,4ed2b2d8c059c87d1418e7d315a16e66,fiscal_calendar,4420089,180,234,success
8fc3d7b7-5554-596c-9bfc-031382fcad30,2026-05-24T01:50:59+00:00,shadow-abuser-01,governed-mcp,account_health,1ec8e115622c5d29e252648d0ed0bedb,regions,2315055,459,766,success
0ba7ca23-e7dc-513e-b314-f268e2e84764,2026-05-24T01:53:48+00:00,shadow-abuser-01,governed-mcp,pipeline_summary,7c3d8bdc533c98b752ea9144733b74b9,fiscal_calendar,867122,218,599,success
854587ba-ce6b-5e31-affa-af37b4cdfec6,2026-05-24T01:56:47+00:00,shadow-abuser-01,shadow-simulator,,0c6bfe7c3d4ed4c1f58cafdb73e97edf,accounts,419928,373,555,success
d96e0226-6fbe-53f2-b6e2-635ba7d8f15d,2026-05-24T02:05:40+00:00,analyst-006,governed-mcp,account_health,5fec3f087f2cb841a1ec39f683e27359,fiscal_calendar,3170792,486,313,success
a8614d47-bca5-5777-8cd9-ced46f754821,2026-05-24T02:07:55+00:00,analyst-006,governed-mcp,renewals_by_region,9f068d12c76ec261a690840862236eb0,fiscal_calendar,743706,391,202,success
